 С  космодрома  Плесецк  в  открытый  космос  ушла  очередная  ракета  ВКС  России ;https://www.news29.ru/novosti/obschestvo/S_kosmodroma_Pleseck_v_otkrytyj_kosmos_ushla_ocherednaja_raketa_VKS_Rossii/98904; 28.11.22  19:03 ;632;Общество
 Определился  состав  претендентов  на  пост  главы  Северодвинска ;https://www.news29.ru/novosti/politika/Opredelilsja_sostav_pretendentov_na_post_glavy_Severodvinska/98903; 28.11.22  18:00 ;1173;Политика
 билайн  увеличил  скорость  открытия  видео  в  YouTube  в  Архангельской  области ;https://www.news29.ru/novosti/obschestvo/bilajn_uvelichil_skorost_otkrytija_video_v_YouTube_v_Arhangelskoj_oblasti/98893; 28.11.22  17:09 ;348;Общество
 Жители  поселка  Ламбас  получили  доступ  к  мобильному  интернету  Tele2   ;https://www.news29.ru/novosti/obschestvo/Zhiteli_poselka_Lambas_poluchili_dostup_k_mobilnomu_internetu_Tele2_/98901; 28.11.22  16:48 ;418;Общество
 На  развитие  Архангельской  области  выделены  первые  средства  по  единой  субсидии ;https://www.news29.ru/novosti/ekonomika/Na_razvitie_Arhangelskoj_oblasti_vydeleny_pervye_sredstva_po_edinoj_subsidii/98900; 28.11.22  16:18 ;557;Экономика
 Губернатор  Александр  Цыбульский  устроил  разнос  министру  спорта  Андрею  Багрецову ;https://www.news29.ru/novosti/politika/Gubernator_Aleksandr_Cybulskij_ustroil_raznos_ministru_sporta_Andreju_Bagrecovu/98899; 28.11.22  16:05 ;3306;Политика
 Мегафон:  «Чёрная  пятница»  –  одна  из  самых  популярных  распродаж  в  стране ;https://www.news29.ru/novosti/obschestvo/Megafon_Chjornaja_pjatnica_odna_iz_samyh_populjarnyh_rasprodazh_v_strane/98897; 28.11.22  15:37 ;385;Общество
 Глава  Поморья  высказался  о  месте  установки  «Золотой  рыбки»  в  Северодвинске ;https://www.news29.ru/novosti/obschestvo/Glava_Pomorja_vyskazalsja_o_meste_ustanovki_Zolotoj_rybki_v_Severodvinske/98898; 28.11.22  15:25 ;1063;Общество
 Первая  ледовая  переправа  в  Архангельской  области  соединила  Пустошь  и  Хабарку ;https://www.news29.ru/novosti/obschestvo/Pervaja_ledovaja_pereprava_v_Arhangelskoj_oblasti_soedinila_Pustosh_i_Habarku/98896; 28.11.22  14:55 ;610;Общество
 Игорь  Скубенко  назначен  министром  труда  Архангельской  области ;https://www.news29.ru/novosti/politika/Igor_Skubenko_naznachen_ministrom_truda_Arhangelskoj_oblasti/98892; 28.11.22  13:51 ;1177;Политика
